,functiongemma-270m,lfm2.5-350m,mobilellm-r1-140m,qwen3-0.6b,rwkv6-0.4b
abstract_algebra,20.00,18.00,16.00,38.00,27.00
anatomy,20.00,39.26,17.04,48.00,25.93
astronomy,22.37,45.39,18.42,52.00,20.39
business_ethics,23.00,37.00,32.00,50.00,24.00
clinical_knowledge,21.51,47.55,22.64,52.00,27.55
college_biology,21.53,42.36,22.22,56.00,23.61
college_chemistry,21.00,33.00,24.00,52.00,38.00
college_computer_science,22.00,38.00,18.00,46.00,32.00
college_mathematics,23.00,33.00,24.00,32.00,36.00
college_medicine,24.28,49.71,20.81,52.00,29.48
college_physics,20.59,28.43,17.65,36.00,35.29
computer_security,28.00,46.00,15.00,68.00,26.00
conceptual_physics,26.81,36.17,26.38,58.00,20.43
econometrics,23.68,22.81,24.56,34.00,17.54
electrical_engineering,26.21,46.21,24.83,50.00,23.45
elementary_mathematics,24.34,30.42,28.04,36.00,24.07
formal_logic,17.46,23.81,25.40,38.00,14.29
global_facts,18.00,33.00,20.00,28.00,29.00
high_school_biology,23.23,40.32,30.32,48.00,25.81
high_school_chemistry,19.70,37.93,29.56,54.00,24.63
high_school_computer_science,27.00,34.00,27.00,54.00,25.00
high_school_european_history,31.52,40.00,23.64,60.00,24.24
high_school_geography,16.67,52.53,25.25,70.00,29.80
high_school_government_and_politics,21.76,51.81,22.28,58.00,26.94
high_school_macroeconomics,21.79,46.15,23.85,46.00,23.59
high_school_mathematics,21.85,29.26,26.67,38.00,32.59
high_school_microeconomics,21.43,49.16,26.89,56.00,34.03
high_school_physics,21.19,30.46,20.53,24.00,24.50
high_school_psychology,21.47,57.61,21.28,70.00,25.14
high_school_statistics,36.11,28.24,27.78,52.00,42.59
high_school_us_history,25.00,40.20,23.04,46.00,24.51
high_school_world_history,27.85,47.68,22.78,66.00,24.47
human_aging,33.18,38.57,21.52,50.00,25.11
human_sexuality,22.14,42.75,24.43,58.00,18.32
international_law,38.84,66.94,28.93,64.00,33.06
jurisprudence,26.85,55.56,25.00,66.00,17.59
logical_fallacies,26.99,53.37,24.54,62.00,25.15
machine_learning,27.68,27.68,25.89,44.00,20.54
management,24.27,59.22,18.45,66.00,24.27
marketing,32.05,65.81,28.21,80.00,21.37
medical_genetics,30.00,46.00,29.00,54.00,23.00
miscellaneous,25.03,47.77,27.59,62.00,27.71
moral_disputes,26.30,44.80,19.36,48.00,26.01
moral_scenarios,24.92,23.69,23.58,22.00,24.92
nutrition,25.49,49.35,24.18,54.00,25.16
philosophy,28.30,49.84,18.33,56.00,28.94
prehistory,24.69,43.21,28.70,52.00,20.37
professional_accounting,23.05,32.98,26.60,36.00,27.30
professional_law,25.36,32.20,25.16,32.00,26.40
professional_medicine,18.01,32.35,17.28,44.00,27.21
professional_psychology,25.98,41.67,24.18,42.00,22.88
public_relations,29.09,45.45,23.64,46.00,21.82
security_studies,23.27,49.39,23.67,46.00,22.45
sociology,23.88,42.29,24.38,46.00,24.88
us_foreign_policy,22.00,64.00,26.00,60.00,27.00
virology,27.11,37.95,21.69,46.00,16.87
world_religions,29.82,58.48,19.88,50.00,27.49
